time,steer,curv,u
0.001,0.0,0.0,1.1671790471888162e-08
0.101,0.0078163515493238,7.295311671876691e-05,0.2230739049141328
0.2010000000000001,0.001810720073696,0.0005082571925478577,0.9411770045095844
0.3010000000000002,-0.0144684604224389,0.0005291385605947265,1.5639790708884815
0.4010000000000003,-0.0243943059992279,0.00018175389370851742,1.9030446626302615
0.5010000000000003,-0.0386418999649126,-0.0003555242900610484,2.3808894702263843
0.6010000000000004,-0.0519136812080584,-0.0011116738138888832,2.583189966017214
0.7010000000000005,-0.0720850671780194,-0.001960516480734943,2.722513654742661
0.8010000000000006,-0.1188964801940051,-0.00266374628698338,2.632194970474916
0.9010000000000008,-0.2035517168253999,-0.0027156479626691057,2.717977260833441
1.0020000000000004,-0.2706376636606893,-0.009165944967808436,2.847386816532587
1.102999999999989,-0.3209530173948379,-0.015587408632573994,2.939805970050498
1.2039999999999782,-0.3709538892577169,-0.02222425150387419,2.999876280626637
1.304999999999967,-0.4036947870176464,-0.029478972975898785,3.035888865780705
1.405999999999956,-0.4187530392188595,-0.032811082005976065,3.058389474906459
1.5069999999999448,-0.4648318119365665,-0.03601993833076731,3.051548357999593
1.6079999999999337,-0.4991174314932959,-0.03828972833879125,3.026788256460025
1.7089999999999226,-0.5214248355874189,-0.04259096703512533,3.014929256792667
1.8099999999999117,-0.5152143523726649,-0.04700484763895466,3.043672830136619
1.9109999999999003,-0.5084574104136447,-0.05469126140869467,3.1029641554193828
2.011999999999889,-0.499612098954536,-0.05970862760920615,3.1577808639049234
2.1129999999998783,-0.5143538134964792,-0.0637274587064831,3.193639588362511
2.213999999999867,-0.5232794597496858,-0.06581014251244968,3.214925580949732
2.314999999999856,-0.5556246807116128,-0.06509567308042155,3.2309509939507945
2.415999999999845,-0.5652255000655708,-0.06640917024615012,3.248436275553991
2.516999999999834,-0.6273813248323249,-0.06683691437241938,3.272324326946067
2.6179999999998227,-0.6089090367929579,-0.07043446397212628,3.293349224005517
2.718999999999812,-0.5554422453199355,-0.07236686898203282,3.307378558784959
2.8199999999998004,-0.4951560680827887,-0.07448748012059099,3.3193178780704518
2.9209999999997893,-0.5681535420147534,-0.07504877445279307,3.330204908811652
3.021999999999778,-0.5969869132810228,-0.07613276160302418,3.341765222317433
3.122999999999767,-0.604232453833802,-0.0788950815786428,3.3553704043746277
3.223999999999756,-0.6352717498070435,-0.08119840449387997,3.36813597381929
3.324999999999745,-0.6127888280814422,-0.0839884286699388,3.3780379267514693
3.4259999999997337,-0.563301487996865,-0.08559039791500944,3.383996908759204
3.5269999999997226,-0.4873598908820404,-0.08604007317117386,3.3870961057546305
3.627999999999712,-0.3795717409696647,-0.08345888252862656,3.388414834189313
3.7289999999997,-0.2960942861839325,-0.0786230134532507,3.388428303565729
3.829999999999689,-0.2235901285809649,-0.07417306176819359,3.3868444425257214
3.930999999999678,-0.1625093723086055,-0.06728856854581891,3.383671593453133
4.030999999999681,-0.1235793915776482,-0.06164804702509197,3.3831648306581186
4.130999999999714,-0.0642639557085394,-0.05725503401458646,3.3826981896319186
4.230999999999748,0.2401541913452005,-0.04887440463846654,3.383639872307427
4.330999999999781,0.4236202283299299,-0.0319253368239094,3.385504042929905
4.430999999999814,0.5299751487165733,-0.017526640769026554,3.385687875369792
4.530999999999848,0.6387268089696154,-0.0025781478945077303,3.384421269735671
4.630999999999881,0.6858905257533844,0.013072382047206586,3.3833200834645534
4.730999999999915,0.6111850475524692,0.026084402018264563,3.382510800666456
4.830999999999948,0.7135388474727037,0.035815597748524546,3.38208699384836
4.930999999999981,0.7688417957858605,0.04439301923562823,3.3812771007898283
5.031000000000015,0.7931616949011402,0.05674981767475222,3.3794773587923657
5.131000000000048,0.7728210788509692,0.06524787905416725,3.378626990828544
5.231000000000082,0.7626313127612091,0.07221373393246244,3.378702293793639
5.331000000000115,0.7238274263686155,0.07883978087811633,3.378343196134127
